onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
2073609.7857	358.533800000092	trials	1.0	2.0	5.0	1.1721	0.15	True	0.0	False	False	4482.0	False	Mixed	True	False	0.002	0.0	2.419	1.5	9.0													
2073609.7857	358.533800000092	processed_trials			5.0	1.1721				False				Mixed					2.419		9.0	40.0	40.0	False	True	False			24.554372273282663			Right	355.5351	
2073609.7857	355.53509999997914	states																																"       state_name
id               
3   wait_for_poke"
2073965.3207999999	0.9987000001128763	states																																"        state_name
id                
1   nose_in_center"
2073966.3195	2.0	states																																"          state_name
id                  
2   punish_violation"
2073968.3418	21.59389999997802	trials	1.0	2.0	5.0	0.8121665135177922	0.15	True	0.0	True	False	4484.0	False	Mixed	True	True	0.002	0.0	100.0	1.5	9.0													
2073968.3418	21.59389999997802	processed_trials			5.0	0.8121665135177922				True				Mixed					100.0		9.0	40.0	40.0	False	False	True	14.187000000000003	14.187000000000003	24.554372273282663	6.3927	-0.18544205610297695	Left	6.3927	
2073968.3418	6.39269999996759	states																																"       state_name
id               
3   wait_for_poke"
2073974.7345	0.8122000000439584	states																																"        state_name
id                
1   nose_in_center"
2073975.5467	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
2073975.5487000002	14.186999999918044	states																																"            state_name
id                    
6   wait_for_side_poke"
2073989.7357	0.19999999995343387	states																																"   state_name
id           
0     opt_out"
2073989.9561	19.152599999913946	trials	1.0	2.0	20.0	0.9301976220984884	0.15	True	0.0	False	False	4485.0	False	Mixed	True	False	0.002	0.0	10.87531423048943	1.5	9.0													
2073989.9561	19.152599999913946	processed_trials			20.0	0.9301976220984884				False				Mixed					10.87531423048943		9.0	40.0	40.0	True	False	False	10.8753	10.8753	24.554372273282663	0.573	-0.26799747175967	Right	0.573	
2073989.9561	0.5730000000912696	states																																"       state_name
id               
3   wait_for_poke"
2073990.5291000002	0.9301999998278916	states																																"        state_name
id                
1   nose_in_center"
2073991.4593	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
2073991.4613	10.875299999956042	states																																"            state_name
id                    
6   wait_for_side_poke"
2074002.3366	6.575799999991432	states																																"         state_name
id                 
4   announce_reward"
2074008.9124	0.19629999995231628	states																																"   state_name
id           
7      reward"
2074009.1294	5.806199999991804	trials	1.0	2.0	5.0	1.1991641918895852	0.15	True	20.0	False	False	4486.0	False	Mixed	True	False	0.002	0.0	10.435148389701316	1.5	9.0													
2074009.1294	5.806199999991804	processed_trials			5.0	1.1991641918895852				False				Mixed					10.435148389701316		9.0	40.0	40.0	False	True	False			24.554372273282663	3.6611	-0.22419119667857754	Left	3.6611	
2074009.1294	3.6610999999102205	states																																"       state_name
id               
3   wait_for_poke"
2074012.7905	0.14510000008158386	states																																"        state_name
id                
1   nose_in_center"
2074012.9356	2.0	states																																"          state_name
id                  
2   punish_violation"
2074014.9556	2.3071000000927597	trials	1.0	2.0	5.0	1.1469856373173377	0.15	True	20.0	False	False	4487.0	False	Mixed	True	True	0.002	0.0	3.1836245402426533	1.5	9.0													
2074014.9556	2.3071000000927597	processed_trials			5.0	1.1469856373173377				False				Mixed					3.1836245402426533		9.0	40.0	40.0	False	True	False			24.554372273282663	0.1027	-0.2746689173639697	Right	0.1027	
2074014.9556	0.10269999993033707	states																																"       state_name
id               
3   wait_for_poke"
2074015.0583	0.20440000016242266	states																																"        state_name
id                
1   nose_in_center"
2074015.2627	2.0	states																																"          state_name
id                  
2   punish_violation"
2074017.2836	7.905400000046939	trials	1.0	2.0	5.0	0.9383049471108618	0.15	True	20.0	False	False	4488.0	False	Mixed	True	True	0.002	0.0	0.4615407735797727	1.5	9.0													
2074017.2836	7.905400000046939	processed_trials			5.0	0.9383049471108618				False				Mixed					0.4615407735797727		9.0	40.0	40.0	True	False	False	0.4615	0.4615	24.554372273282663	5.996899999999999	-0.19105668117246835	Left	5.996899999999999	
2074017.2836	5.996899999910966	states																																"       state_name
id               
3   wait_for_poke"
2074023.2804999999	0.938300000037998	states																																"        state_name
id                
1   nose_in_center"
2074024.2188	0.0020000000949949026	states																																"   state_name
id           
5      go_cue"
2074024.2208	0.4614999999757856	states																																"            state_name
id                    
6   wait_for_side_poke"
2074024.6823	0.4143999998923391	states																																"         state_name
id                 
4   announce_reward"
2074025.0966999999	0.09230000013485551	states																																"   state_name
id           
7      reward"
2074025.213	5.253299999982119	trials	1.0	2.0	5.0	0.8579357117799016	0.15	True	25.0	False	False	4489.0	False	Mixed	True	False	0.002	0.0	0.46154077	1.5	9.0													
2074025.213	5.253299999982119	processed_trials			5.0	0.8579357117799016				False				Mixed					0.46154077		9.0	40.0	40.0	False	True	False			24.554372273282663	3.1757	-0.23107684349194574	Left	1.2557	
2074025.213	3.1757000000216067	states																																"       state_name
id               
3   wait_for_poke"
2074028.3887	0.07759999996051192	states																																"        state_name
id                
1   nose_in_center"
2074028.4663	2.0	states																																"          state_name
id                  
2   punish_violation"
2074030.49	8.790999999968335	trials	1.0	2.0	5.0	0.8209444283113526	0.15	True	25.0	True	False	4490.0	False	Mixed	True	True	0.002	0.0	100.0	1.5	9.0													
