onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	high_ITI	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
1452384.2516	728.6768000000156	trials	1.0	4.0	10.0	1.1767	0.0	0.15	True	0.0	False	False	20940.0	False	Mixed	True	False	0.025	0.0	0.30682	1.5	9.0													
1452384.2516	728.6768000000156	processed_trials			10.0	1.1767					False				Mixed					0.30682		9.0	40.0	40.0	True	False	False	0.3067999999999529	0.3067999999999529	26.12363895178335			Left	726.8397	
1452384.2516	726.839699999895	states																																	"       state_name
id               
3   wait_for_poke"
1453111.0913	1.1767000001855195	states																																	"        state_name
id                
1   nose_in_center"
1453112.2680000002	0.001999999862164259	states																																	"   state_name
id           
5      go_cue"
1453112.27	0.30680000013671815	states																																	"            state_name
id                    
6   wait_for_side_poke"
1453112.5768000002	0.2410999999847263	states																																	"         state_name
id                 
4   announce_reward"
1453112.8179000001	0.11039999988861382	states																																	"   state_name
id           
8      reward"
1453112.9283	0.00010000006295740604	states																																	"    state_name
id            
7   stop_sound"
1453112.9562	7.318500000052154	trials	1.0	4.0	80.0	1.1148829530466684	0.0	0.15	True	10.0	False	False	20942.0	False	Mixed	True	False	0.025	0.0	10.143761030171735	1.5	9.0													
1453112.9562	7.318500000052154	processed_trials			80.0	1.1148829530466684					False				Mixed					10.143761030171735		9.0	40.0	40.0	False	True	False			26.12363895178335	2.2973000000000003	-0.09348829009187808	Left	0.7764000000000002	
1453112.9562	2.2972999999765307	states																																	"       state_name
id               
3   wait_for_poke"
1453115.2534999999	1.0212000000756234	states																																	"        state_name
id                
1   nose_in_center"
1453116.2747	4.0	states																																	"          state_name
id                  
2   punish_violation"
1453120.2961	7.535700000124052	trials	1.0	4.0	80.0	0.9717897232676423	0.0	0.15	True	10.0	False	False	20943.0	False	Mixed	True	True	0.025	0.0	4.84988451910618	1.5	9.0													
1453120.2961	7.535700000124052	processed_trials			80.0	0.9717897232676423					False				Mixed					4.84988451910618		9.0	40.0	40.0	True	False	False	4.8499	4.8499	26.12363895178335	0.1315	-0.1225269610972478	Right	0.1315	
1453120.2961	0.1314999999012798	states																																	"       state_name
id               
3   wait_for_poke"
1453120.4275999998	0.9718000001739711	states																																	"        state_name
id                
1   nose_in_center"
1453121.3994	0.001999999862164259	states																																	"   state_name
id           
5      go_cue"
1453121.4013999999	4.849900000030175	states																																	"            state_name
id                    
6   wait_for_side_poke"
1453126.2513	0.6603000001050532	states																																	"         state_name
id                 
4   announce_reward"
1453126.9116	0.9200999999884516	states																																	"   state_name
id           
8      reward"
1453127.8317	9.999983012676239e-05	states																																	"    state_name
id            
7   stop_sound"
1453127.8551	4.843799999915063	trials	1.0	4.0	10.0	0.8402800959026039	0.0	0.15	True	90.0	False	False	20944.0	False	Mixed	True	False	0.025	0.0	0.8955445089745722	1.5	9.0													
1453127.8551	4.843799999915063	processed_trials			10.0	0.8402800959026039					False				Mixed					0.8955445089745722		9.0	40.0	40.0	True	False	False	0.8955000000000006	0.8955000000000006	26.12363895178335	2.8028000000000004	-0.08671063370937997	Left	2.1280000000000006	
1453127.8551	2.8027999999467283	states																																	"       state_name
id               
3   wait_for_poke"
1453130.6579	0.8403000000398606	states																																	"        state_name
id                
1   nose_in_center"
1453131.4982	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
1453131.5002000001	0.8954999998677522	states																																	"            state_name
id                    
6   wait_for_side_poke"
1453132.3957	0.1927000000141561	states																																	"         state_name
id                 
4   announce_reward"
1453132.5884	0.11040000012144446	states																																	"   state_name
id           
8      reward"
1453132.6988000001	9.999983012676239e-05	states																																	"    state_name
id            
7   stop_sound"
1453132.7319	4.856799999950454	trials	1.0	4.0	80.0	1.0374629163578144	0.0	0.15	True	100.0	False	False	20945.0	False	Mixed	True	False	0.025	0.0	0.28805336272231263	1.5	9.0													
1453132.7319	4.856799999950454	processed_trials			80.0	1.0374629163578144					False				Mixed					0.28805336272231263		9.0	40.0	40.0	True	False	False	0.2881	0.2881	26.12363895178335	2.2426999999999997	-0.09422035742814791	Right	1.1872999999999996	
1453132.7319	2.2427000000607222	states																																	"       state_name
id               
3   wait_for_poke"
1453134.9746	1.0374999998603016	states																																	"        state_name
id                
1   nose_in_center"
1453136.0121	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
1453136.0141	0.2881000000052154	states																																	"            state_name
id                    
6   wait_for_side_poke"
1453136.3022	0.3662999998778105	states																																	"         state_name
id                 
4   announce_reward"
1453136.6685	0.9200999999884516	states																																	"   state_name
id           
8      reward"
1453137.5886	0.00010000006295740604	states																																	"    state_name
id            
7   stop_sound"
1453137.6209	13.001600000075996	trials	1.0	4.0	40.0	0.8126914764257893	0.0	0.15	True	180.0	False	False	20946.0	False	Mixed	True	False	0.025	0.0	1.5748079783883884	1.5	9.0													
1453137.6209	13.001600000075996	processed_trials			40.0	0.8126914764257893					False				Mixed					1.5748079783883884		9.0	40.0	40.0	False	True	False			26.12363895178335	8.9804	-0.0038824436628511925	Left	0.8802999999999983	
1453137.6209	8.980400000000373	states																																	"       state_name
id               
3   wait_for_poke"
1453146.6013	0.021200000075623393	states																																	"        state_name
id                
1   nose_in_center"
1453146.6225	4.0	states																																	"          state_name
id                  
2   punish_violation"
1453150.6477	8.026899999938905	trials	1.0	4.0	40.0	0.81269148	0.0	0.15	True	180.0	False	False	20947.0	False	Mixed	True	True	0.025	0.0	3.4435210943427466	1.5	9.0													
1453150.6477	8.026899999938905	processed_trials			40.0	0.81269148					False				Mixed					3.4435210943427466		9.0	40.0	40.0	True	False	False	3.4435000000000002	3.4435000000000002	26.12363895178335	2.4486	-0.09145968591646371	Left	2.4486	
1453150.6477	2.4486000000033528	states																																	"       state_name
id               
3   wait_for_poke"
1453153.0963	0.8126999998930842	states																																	"        state_name
id                
1   nose_in_center"
1453153.909	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
1453153.911	3.443500000052154	states																																	"            state_name
id                    
6   wait_for_side_poke"
1453157.3545000001	0.9927000000607222	states																																	"         state_name
id                 
4   announce_reward"
1453158.3472000002	0.32730000000447035	states																																	"   state_name
id           
8      reward"
1453158.6745000002	9.999983012676239e-05	states																																	"    state_name
id            
7   stop_sound"
1453158.7014	10.457900000037625	trials	1.0	4.0	10.0	0.8217314099447877	0.0	0.15	True	220.0	True	False	20948.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
1453158.7014	10.457900000037625	processed_trials			10.0	0.8217314099447877					True				Mixed					100.0		9.0	40.0	40.0	False	True	False			26.12363895178335	6.3805	-0.03874145222636618	Right	2.9319999999999995	
1453158.7014	6.380499999970198	states																																	"       state_name
id               
3   wait_for_poke"
1453165.0818999999	0.07740000006742775	states																																	"        state_name
id                
1   nose_in_center"
1453165.1593	4.0	states																																	"          state_name
id                  
2   punish_violation"
1453169.1858	9.726599999936298	trials	1.0	4.0	10.0	1.1218485890844816	0.0	0.15	True	220.0	False	False	20949.0	False	Mixed	True	True	0.025	0.0	0.9820255329749484	1.5	9.0													
1453169.1858	9.726599999936298	processed_trials			10.0	1.1218485890844816					False				Mixed					0.9820255329749484		9.0	40.0	40.0	False	True	False			26.12363895178335	4.9868999999999994	-0.05742659947591981	Right	4.9868999999999994	
