onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	high_ITI	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
963487.0652	175.3801000000676	trials	1.0	2.0	10.0	1.1672	0.0	0.35	True	0.0	False	False	1948.0	False	Mixed	True	False	0.025	0.0	2.4745	1.5	9.0													
963487.0652	175.3801000000676	processed_trials			10.0	1.1672					False				Mixed					2.4745		9.0	40.0	40.0	False	True	False			36.42602759261345			Left	173.2996	
963487.0652	173.29960000002757	states																																	"       state_name
id               
3   wait_for_poke"
963660.3648	0.08049999992363155	states																																	"        state_name
id                
1   nose_in_center"
963660.4452999999	2.0	states																																	"          state_name
id                  
2   punish_violation"
963662.4654	21.293999999994412	trials	1.0	2.0	10.0	0.8590699516953835	0.0	0.35	True	0.0	True	False	1950.0	False	Mixed	True	True	0.025	0.0	100.0	1.5	9.0													
963662.4654	21.293999999994412	processed_trials			10.0	0.8590699516953835					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	3.5820000000000007	3.5820000000000007	36.42602759261345	16.6509	0.39378057249834864	Left	16.6509	
963662.4654	16.650900000007823	states																																	"       state_name
id               
3   wait_for_poke"
963679.1163	0.8591000000014901	states																																	"        state_name
id                
1   nose_in_center"
963679.9754	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963679.9774	3.5820000000530854	states																																	"            state_name
id                    
6   wait_for_side_poke"
963683.5594	0.19999999995343387	states																																	"   state_name
id           
0     opt_out"
963683.7792	2.399100000038743	trials	1.0	2.0	5.0	1.0639704734598703	0.0	0.35	True	0.0	False	False	1951.0	False	Mixed	True	False	0.025	0.0	0.6484918322937844	1.5	9.0													
963683.7792	2.399100000038743	processed_trials			5.0	1.0639704734598703					False				Mixed					0.6484918322937844		9.0	40.0	40.0	True	False	False	0.6484999999999999	0.6484999999999999	36.42602759261345	0.5943999999999999	-0.21968447352220233	Right	0.5943999999999999	
963683.7792	0.5943999999435619	states																																	"       state_name
id               
3   wait_for_poke"
963684.3735999999	1.0640000000130385	states																																	"        state_name
id                
1   nose_in_center"
963685.4376	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
963685.4396	0.6484999998938292	states																																	"            state_name
id                    
6   wait_for_side_poke"
963686.0880999999	0.0032000000355765224	states																																	"         state_name
id                 
4   announce_reward"
963686.0913	0.087000000057742	states																																	"   state_name
id           
7      reward"
963686.1983	11.098399999900721	trials	1.0	2.0	10.0	1.0868819474315092	0.0	0.35	True	5.0	True	False	1952.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
963686.1983	11.098399999900721	processed_trials			10.0	1.0868819474315092					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	6.071599999999998	6.071599999999998	36.42602759261345	3.7379000000000002	-0.09958187506266244	Right	0.5517000000000003	
963686.1983	3.73789999994915	states																																	"       state_name
id               
3   wait_for_poke"
963689.9362	1.0868999999947846	states																																	"        state_name
id                
1   nose_in_center"
963691.0231	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
963691.0251000001	6.071599999908358	states																																	"            state_name
id                    
6   wait_for_side_poke"
963697.0967	0.2000000000698492	states																																	"   state_name
id           
0     opt_out"
963697.3174	2.1618999999482185	trials	1.0	2.0	10.0	1.0868819	0.0	0.35	True	5.0	False	False	1953.0	False	Mixed	True	False	0.025	0.0	0.3052272983255165	1.5	9.0													
963697.3174	2.1618999999482185	processed_trials			10.0	1.0868819					False				Mixed					0.3052272983255165		9.0	40.0	40.0	True	False	False	0.30520000000000014	0.30520000000000014	36.42602759261345	0.4004	-0.22709656326330324	Left	0.4004	
963697.3174	0.40040000004228204	states																																	"       state_name
id               
3   wait_for_poke"
963697.7178000001	1.0868999999947846	states																																	"        state_name
id                
1   nose_in_center"
963698.8047000001	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963698.8067000001	0.3051999999443069	states																																	"            state_name
id                    
6   wait_for_side_poke"
963699.1119	0.28179999999701977	states																																	"         state_name
id                 
4   announce_reward"
963699.3937	0.08559999999124557	states																																	"   state_name
id           
7      reward"
963699.5008	5.757499999948777	trials	1.0	2.0	20.0	1.1905066980573742	0.0	0.35	True	15.0	False	False	1954.0	False	Mixed	True	False	0.025	0.0	2.428713774368504	1.5	9.0													
963699.5008	5.757499999948777	processed_trials			20.0	1.1905066980573742					False				Mixed					2.428713774368504		9.0	40.0	40.0	True	False	False	2.4287000000000005	2.4287000000000005	36.42602759261345	1.8984	-0.16986300433459617	Right	0.48380000000000023	
963699.5008	1.8983999999472871	states																																	"       state_name
id               
3   wait_for_poke"
963701.3992	1.190500000026077	states																																	"        state_name
id                
1   nose_in_center"
963702.5897	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963702.5917	2.4287000000476837	states																																	"            state_name
id                    
6   wait_for_side_poke"
963705.0204	0.04150000005029142	states																																	"         state_name
id                 
4   announce_reward"
963705.0619000001	0.19639999989885837	states																																	"   state_name
id           
7      reward"
963705.2812	6.939899999997579	trials	1.0	2.0	80.0	1.0995677676863154	0.0	0.35	True	35.0	False	False	1955.0	False	Mixed	True	False	0.025	0.0	1.3024585975451513	1.5	9.0													
963705.2812	6.939899999997579	processed_trials			80.0	1.0995677676863154					False				Mixed					1.3024585975451513		9.0	40.0	40.0	True	False	False	1.3025000000000002	1.3025000000000002	36.42602759261345	3.4486999999999997	-0.11063123770764384	Right	1.0496999999999996	
963705.2812	3.448699999949895	states																																	"       state_name
id               
3   wait_for_poke"
963708.7298999999	1.0996000000741333	states																																	"        state_name
id                
1   nose_in_center"
963709.8295	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963709.8315	1.3024999999906868	states																																	"            state_name
id                    
6   wait_for_side_poke"
963711.134	0.48499999998603016	states																																	"         state_name
id                 
4   announce_reward"
963711.619	0.6021000000182539	states																																	"   state_name
id           
7      reward"
963712.2435	47.77859999996144	trials	1.0	2.0	40.0	1.1653211427284427	0.0	0.35	True	115.0	False	False	1956.0	False	Mixed	True	False	0.025	0.0	3.668404691332901	1.5	9.0													
963712.2435	47.77859999996144	processed_trials			40.0	1.1653211427284427					False				Mixed					3.668404691332901		9.0	40.0	40.0	True	False	False	3.668399999999999	3.668399999999999	36.42602759261345	4.6318	-0.06542895228137323	Left	0.9849000000000001	
963712.2435	4.631799999973737	states																																	"       state_name
id               
3   wait_for_poke"
963716.8753	1.1652999999932945	states																																	"        state_name
id                
1   nose_in_center"
963718.0406	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963718.0425999999	3.668400000082329	states																																	"            state_name
id                    
6   wait_for_side_poke"
963721.711	38.091599999926984	states																																	"         state_name
id                 
4   announce_reward"
963759.8025999999	0.21950000000651926	states																																	"   state_name
id           
7      reward"
963760.0453	6.327599999960512	trials	1.0	2.0	10.0	0.8998138029960553	0.0	0.35	True	155.0	False	False	1957.0	False	Mixed	True	False	0.025	0.0	3.6684047	1.5	9.0													
963760.0453	6.327599999960512	processed_trials			10.0	0.8998138029960553					False				Mixed					3.6684047		9.0	40.0	40.0	False	True	False			36.42602759261345	4.074	-0.08674062061944587	Right	1.8338999999999999	
963760.0453	4.074000000022352	states																																	"       state_name
id               
3   wait_for_poke"
963764.1193	0.2535999999381602	states																																	"        state_name
id                
1   nose_in_center"
963764.3729	2.0	states																																	"          state_name
id                  
2   punish_violation"
963766.3966	3.0459000000264496	trials	1.0	2.0	10.0	0.8998138	0.0	0.35	True	155.0	False	False	1958.0	False	Mixed	True	True	0.025	0.0	0.7361947239791609	1.5	9.0													
963766.3966	3.0459000000264496	processed_trials			10.0	0.8998138					False				Mixed					0.7361947239791609		9.0	40.0	40.0	False	True	False			36.42602759261345	0.8094	-0.2114700441699513	Left	0.8094	
963766.3966	0.8094000000273809	states																																	"       state_name
id               
3   wait_for_poke"
963767.206	0.23649999999906868	states																																	"        state_name
id                
1   nose_in_center"
963767.4425	2.0	states																																	"          state_name
id                  
2   punish_violation"
963769.4682	15.791399999987334	trials	1.0	2.0	10.0	0.8462747262159411	0.0	0.35	True	155.0	False	False	1959.0	False	Mixed	True	True	0.025	0.0	1.7991382702906216	1.5	9.0													
963769.4682	15.791399999987334	processed_trials			10.0	0.8462747262159411					False				Mixed					1.7991382702906216		9.0	40.0	40.0	True	False	False	1.799100000000001	1.799100000000001	36.42602759261345	12.754700000000001	0.24491982997630024	Right	12.754700000000001	
963769.4682	12.754700000048615	states																																	"       state_name
id               
3   wait_for_poke"
963782.2229	0.8462999999755993	states																																	"        state_name
id                
1   nose_in_center"
963783.0692	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963783.0712	1.7990999999456108	states																																	"            state_name
id                    
6   wait_for_side_poke"
963784.8703	0.2655000000959262	states																																	"         state_name
id                 
4   announce_reward"
963785.1358	0.12379999994300306	states																																	"   state_name
id           
7      reward"
963785.2861	7.697999999974854	trials	1.0	2.0	10.0	0.8009239347572182	0.0	0.35	True	165.0	False	False	1960.0	False	Mixed	True	False	0.025	0.0	3.958877767131054	1.5	9.0													
963785.2861	7.697999999974854	processed_trials			10.0	0.8009239347572182					False				Mixed					3.958877767131054		9.0	40.0	40.0	True	False	False	3.9589	3.9589	36.42602759261345	2.8301	-0.13426587025323675	Left	0.4365999999999999	
963785.2861	2.830100000021048	states																																	"       state_name
id               
3   wait_for_poke"
963788.1162	0.8009000000311062	states																																	"        state_name
id                
1   nose_in_center"
963788.9171000001	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963788.9191	3.9588999999687076	states																																	"            state_name
id                    
6   wait_for_side_poke"
963792.878	0.020499999984167516	states																																	"         state_name
id                 
4   announce_reward"
963792.8985	0.08559999999124557	states																																	"   state_name
id           
7      reward"
963793.0118	4.755400000023656	trials	1.0	2.0	5.0	1.1486547409967764	0.0	0.35	True	175.0	False	False	1961.0	False	Mixed	True	False	0.025	0.0	0.2313351031342311	1.5	9.0													
963793.0118	4.755400000023656	processed_trials			5.0	1.1486547409967764					False				Mixed					0.2313351031342311		9.0	40.0	40.0	False	True	False			36.42602759261345	2.6765	-0.14013441140907748	Left	0.7380999999999998	
963793.0118	2.6764999999431893	states																																	"       state_name
id               
3   wait_for_poke"
963795.6882999999	0.07890000008046627	states																																	"        state_name
id                
1   nose_in_center"
963795.7672	2.0	states																																	"          state_name
id                  
2   punish_violation"
963797.795	9.443599999998696	trials	1.0	2.0	5.0	1.0439032540490032	0.0	0.35	True	175.0	True	False	1962.0	False	Mixed	True	True	0.025	0.0	100.0	1.5	9.0													
963797.795	9.443599999998696	processed_trials			5.0	1.0439032540490032					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	5.9103	5.9103	36.42602759261345	2.2874	-0.15500061820424432	Left	2.2874	
963797.795	2.287400000030175	states																																	"       state_name
id               
3   wait_for_poke"
963800.0824000001	1.0438999999314547	states																																	"        state_name
id                
1   nose_in_center"
963801.1263	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
963801.1283000001	5.910299999988638	states																																	"            state_name
id                    
6   wait_for_side_poke"
963807.0386000001	0.19999999995343387	states																																	"   state_name
id           
0     opt_out"
963807.2672	7.020600000047125	trials	1.0	2.0	5.0	1.0439033	0.0	0.35	True	175.0	False	False	1963.0	False	Mixed	True	False	0.025	0.0	4.594247615252965	1.5	9.0													
963807.2672	7.020600000047125	processed_trials			5.0	1.0439033					False				Mixed					4.594247615252965		9.0	40.0	40.0	True	False	False	4.594199999999999	4.594199999999999	36.42602759261345	1.1779000000000002	-0.19739089432667456	Right	1.1779000000000002	
963807.2672	1.1779000000096858	states																																	"       state_name
id               
3   wait_for_poke"
963808.4451	1.04390000004787	states																																	"        state_name
id                
1   nose_in_center"
963809.4890000001	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963809.491	4.594199999934062	states																																	"            state_name
id                    
6   wait_for_side_poke"
963814.0852	0.11560000001918525	states																																	"         state_name
id                 
4   announce_reward"
963814.2008	0.087000000057742	states																																	"   state_name
id           
7      reward"
963814.3173	10.976900000008754	trials	1.0	2.0	5.0	0.9248817535932522	0.0	0.35	True	180.0	True	False	1964.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
963814.3173	10.976900000008754	processed_trials			5.0	0.9248817535932522					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	6.7798	6.7798	36.42602759261345	3.0702	-0.1250924540324206	Right	0.5062999999999995	
963814.3173	3.0701999999582767	states																																	"       state_name
id               
3   wait_for_poke"
963817.3875	0.9248999999836087	states																																	"        state_name
id                
1   nose_in_center"
963818.3123999999	0.0020000000949949026	states																																	"   state_name
id           
5      go_cue"
963818.3144	6.77980000001844	states																																	"            state_name
id                    
6   wait_for_side_poke"
963825.0942	0.19999999995343387	states																																	"   state_name
id           
0     opt_out"
963825.3236	2.939600000041537	trials	1.0	2.0	10.0	0.9476866168757999	0.0	0.35	True	180.0	False	False	1965.0	False	Mixed	True	False	0.025	0.0	0.9463592394960927	1.5	9.0													
963825.3236	2.939600000041537	processed_trials			10.0	0.9476866168757999					False				Mixed					0.9463592394960927		9.0	40.0	40.0	False	True	False			36.42602759261345	0.5937	-0.21971121817590733	Right	0.5937	
963825.3236	0.5936999999685213	states																																	"       state_name
id               
3   wait_for_poke"
963825.9173	0.3459000000730157	states																																	"        state_name
id                
1   nose_in_center"
963826.2632	2.0	states																																	"          state_name
id                  
2   punish_violation"
963828.2925	38.207000000053085	trials	1.0	2.0	10.0	1.1316084893409948	0.0	0.35	True	180.0	True	False	1966.0	False	Mixed	True	True	0.025	0.0	100.0	1.5	9.0													
963828.2925	38.207000000053085	processed_trials			10.0	1.1316084893409948					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	19.740599999999997	19.740599999999997	36.42602759261345	17.1328	0.4121923562418359	Right	17.1328	
963828.2925	17.132800000021234	states																																	"       state_name
id               
3   wait_for_poke"
963845.4253	1.1315999999642372	states																																	"        state_name
id                
1   nose_in_center"
963846.5569	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
963846.5589	19.740600000019185	states																																	"            state_name
id                    
6   wait_for_side_poke"
963866.2995	0.2000000000698492	states																																	"   state_name
id           
0     opt_out"
