onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	high_ITI	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
3653357.0333	17.71240000007674	trials	1.0	2.0	10.0	1.1587	0.0	0.35	True	0.0	False	False	12490.0	False	Low	True	False	0.025	0.0	4.9411	1.5	9.0													
3653357.0333	17.71240000007674	processed_trials			10.0	1.1587					False				Low					4.9411		9.0	40.0	40.0	True	False	False	4.941099999999997	4.941099999999997	16.328661017111735			Right	11.4208	
3653357.0333	11.420799999963492	states																																	"       state_name
id               
3   wait_for_poke"
3653368.4540999997	1.1587000000290573	states																																	"        state_name
id                
1   nose_in_center"
3653369.6128	0.001999999862164259	states																																	"   state_name
id           
5      go_cue"
3653369.6147999996	4.94109999993816	states																																	"            state_name
id                    
6   wait_for_side_poke"
3653374.5558999996	0.0897000003606081	states																																	"         state_name
id                 
4   announce_reward"
3653374.6456	0.10009999992325902	states																																	"   state_name
id           
7      reward"
3653374.7775	15.755900000222027	trials	1.0	2.0	80.0	0.8743011159223718	0.0	0.35	True	10.0	True	False	12492.0	False	Mixed	True	False	0.025	0.0	100.0	1.5	9.0													
3653374.7775	15.755900000222027	processed_trials			80.0	0.8743011159223718					True				Mixed					100.0		9.0	40.0	40.0	False	False	True	10.4126	10.4126	16.328661017111735	4.267	0.01096079301816076	Right	0.8268000000000004	
3653374.7775	4.266999999992549	states																																	"       state_name
id               
3   wait_for_poke"
3653379.0445	0.8742999997921288	states																																	"        state_name
id                
1   nose_in_center"
3653379.9187999996	0.0020000003278255463	states																																	"   state_name
id           
5      go_cue"
3653379.9208	10.412599999923259	states																																	"            state_name
id                    
6   wait_for_side_poke"
3653390.3334	0.20000000018626451	states																																	"   state_name
id           
0     opt_out"
3653390.5653	2.419600000139326	trials	1.0	2.0	40.0	0.9222207929135144	0.0	0.35	True	10.0	False	False	12493.0	False	Mixed	True	False	0.025	0.0	0.19747498511989003	1.5	9.0													
3653390.5653	2.419600000139326	processed_trials			40.0	0.9222207929135144					False				Mixed					0.19747498511989003		9.0	40.0	40.0	False	True	False			16.328661017111735	0.22569999999999998	-0.2003005015255787	Left	0.22569999999999998	
3653390.5653	0.22569999983534217	states																																	"       state_name
id               
3   wait_for_poke"
3653390.7909999997	0.1939000003039837	states																																	"        state_name
id                
1   nose_in_center"
3653390.9849	2.0	states																																	"          state_name
id                  
2   punish_violation"
3653393.0108	2.1877999999560416	trials	1.0	2.0	40.0	0.8191866105277567	0.0	0.35	True	10.0	False	False	12494.0	False	Mixed	True	True	0.025	0.0	1.0271704624006475	1.5	9.0													
3653393.0108	2.1877999999560416	processed_trials			40.0	0.8191866105277567					False				Mixed					1.0271704624006475		9.0	40.0	40.0	False	True	False			16.328661017111735	0.1335	-0.20512030984392496	Right	0.1335	
3653393.0108	0.1334999999962747	states																																	"       state_name
id               
3   wait_for_poke"
3653393.1443	0.054299999959766865	states																																	"        state_name
id                
1   nose_in_center"
3653393.1986	2.0	states																																	"          state_name
id                  
2   punish_violation"
3653395.2422	2.0509999999776483	trials	1.0	2.0	40.0	0.9994010136672601	0.0	0.35	True	10.0	True	False	12495.0	False	Mixed	True	True	0.025	0.0	1.0271705	1.5	9.0													
3653395.2422	2.0509999999776483	processed_trials			40.0	0.9994010136672601					False				Mixed					1.0271705		9.0	40.0	40.0	False	False	False	1.0272000000000001	1.0272000000000001	16.328661017111735	0.0224	-0.21092812659195392	Right	0.0224	
3653395.2422	0.022400000132620335	states																																	"       state_name
id               
3   wait_for_poke"
3653395.2646000003	0.9994000000879169	states																																	"        state_name
id                
1   nose_in_center"
3653396.2640000004	0.001999999862164259	states																																	"   state_name
id           
5      go_cue"
3653396.2660000003	1.0271999998949468	states																																	"            state_name
id                    
6   wait_for_side_poke"
3653397.3267	7.848799999803305	trials	1.0	2.0	40.0	1.09503172369508	0.0	0.35	True	10.0	False	False	12496.0	False	Mixed	True	False	0.025	0.0	0.3902964541242096	1.5	9.0													
3653397.3267	7.848799999803305	processed_trials			40.0	1.09503172369508					False				Mixed					0.3902964541242096		9.0	40.0	40.0	True	False	False	0.39030000000000076	0.39030000000000076	16.328661017111735	5.9053	0.0966038729308147	Left	5.9053	
3653397.3267	5.905300000216812	states																																	"       state_name
id               
3   wait_for_poke"
3653403.2320000003	1.0949999997392297	states																																	"        state_name
id                
1   nose_in_center"
3653404.327	0.001999999862164259	states																																	"   state_name
id           
5      go_cue"
3653404.329	0.39030000008642673	states																																	"            state_name
id                    
6   wait_for_side_poke"
3653404.7193	0.159599999897182	states																																	"         state_name
id                 
4   announce_reward"
3653404.8789	0.2966000000014901	states																																	"   state_name
id           
7      reward"
3653405.2121	6.392299999948591	trials	1.0	2.0	5.0	1.1110872512247514	0.0	0.35	True	50.0	False	False	12497.0	False	Mixed	True	False	0.025	0.0	0.5695585897058024	1.5	9.0													
3653405.2121	6.392299999948591	processed_trials			5.0	1.1110872512247514					False				Mixed					0.5695585897058024		9.0	40.0	40.0	False	True	False			16.328661017111735	4.2912	0.012225862012780907	Right	0.46919999999999984	
3653405.2121	4.291199999861419	states																																	"       state_name
id               
3   wait_for_poke"
3653409.5033	0.10110000008717179	states																																	"        state_name
id                
1   nose_in_center"
3653409.6044	2.0	states																																	"          state_name
id                  
2   punish_violation"
3653411.6345	2.1711999997496605	trials	1.0	2.0	5.0	1.1110873	0.0	0.35	True	50.0	False	False	12498.0	False	Mixed	True	True	0.025	0.0	3.495761060432714	1.5	9.0													
3653411.6345	2.1711999997496605	processed_trials			5.0	1.1110873					False				Mixed					3.495761060432714		9.0	40.0	40.0	False	True	False			16.328661017111735	0.09609999999999999	-0.20707541647197433	Left	0.09609999999999999	
3653411.6345	0.0961000001989305	states																																	"       state_name
id               
3   wait_for_poke"
3653411.7306000004	0.07510000001639128	states																																	"        state_name
id                
1   nose_in_center"
3653411.8057000004	2.0	states																																	"          state_name
id                  
2   punish_violation"
3653413.8378	2.232900000177324	trials	1.0	2.0	5.0	1.1317141461120803	0.0	0.35	True	50.0	False	False	12499.0	False	Mixed	True	True	0.025	0.0	0.5254392785182964	1.5	9.0													
3653413.8378	2.232900000177324	processed_trials			5.0	1.1317141461120803					False				Mixed					0.5254392785182964		9.0	40.0	40.0	False	True	False			16.328661017111735	0.0731	-0.20827775477264637	Left	0.0731	
