onset	duration	nwb_table	target_duration_for_nose_in_center	violation_time_out	reward_volume_ul	nose_in_center	high_ITI	catch_percentage	punish_sound_enabled	cumulative_reward_volume_ul	is_catch	is_warm_up	trials_in_stage	changed	block_type	auto_change_catch_probability	previous_was_violation	time_increment_for_reward_delay	time_increment_for_nose_in_center	reward_delay	target_reward_delay	training_stage	num_trials_in_adaptation_blocks	num_trials_in_mixed_blocks	is_rewarded	is_violation	is_opt_out	wait_time	wait_time_unthresholded	wait_time_threshold	wait_for_center_poke	z_scored_wait_for_center_poke	rewarded_port	inter_trial_interval	state_type
710342.9047	9.085400000098161	trials	1.0	2.0	20.0	1.1497	0.0	0.35	True	0.0	False	False	17515.0	False	High	True	False	0.025	0.0	4.8858	1.5	9.0													
710342.9047	9.085400000098161	processed_trials			20.0	1.1497					False				High					4.8858		9.0	40.0	40.0	False	True	False			16.328661017111735			Right	6.665	
710342.9047	6.665000000037253	states																																	"       state_name
id               
3   wait_for_poke"
710349.5697	0.4202999999979511	states																																	"        state_name
id                
1   nose_in_center"
710349.99	2.0	states																																	"          state_name
id                  
2   punish_violation"
710352.0302	2.291099999914877	trials	1.0	2.0	20.0	1.088060062236349	0.0	0.35	True	0.0	True	False	17517.0	False	High	True	True	0.025	0.0	100.0	1.5	9.0													
710352.0302	2.291099999914877	processed_trials			20.0	1.088060062236349					True				High					100.0		9.0	40.0	40.0	False	True	False			16.328661017111735	0.24209999999999998	-0.1941112610011831	Left	0.24209999999999998	
710352.0302	0.24210000003222376	states																																	"       state_name
id               
3   wait_for_poke"
710352.2723000001	0.04889999993611127	states																																	"        state_name
id                
1   nose_in_center"
710352.3212	2.0	states																																	"          state_name
id                  
2   punish_violation"
710354.3477	4.707300000009127	trials	1.0	2.0	20.0	1.0880601	0.0	0.35	True	0.0	True	False	17518.0	False	High	True	True	0.025	0.0	100.0	1.5	9.0													
710354.3477	4.707300000009127	processed_trials			20.0	1.0880601					True				High					100.0		9.0	40.0	40.0	False	False	True	3.4154	3.4154	16.328661017111735	0.0016	-0.20183805139426358	Right	0.0016	
710354.3477	0.0015999999595806003	states																																	"       state_name
id               
3   wait_for_poke"
710354.3493	1.0881000000517815	states																																	"        state_name
id                
1   nose_in_center"
710355.4374	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
710355.4394	3.415400000056252	states																																	"            state_name
id                    
6   wait_for_side_poke"
710358.8548000001	0.19999999995343387	states																																	"   state_name
id           
0     opt_out"
710359.0548	9.999994654208422e-05	states																																	"    state_name
id            
7   stop_sound"
710359.0859	2.322400000062771	trials	1.0	2.0	80.0	1.1186688760358867	0.0	0.35	True	0.0	False	False	17519.0	False	Mixed	True	False	0.025	0.0	1.242099933370426	1.5	9.0													
710359.0859	2.322400000062771	processed_trials			80.0	1.1186688760358867					False				Mixed					1.242099933370426		9.0	40.0	40.0	False	True	False			16.328661017111735	0.1707	-0.1964052020991704	Right	0.1707	
710359.0859	0.17070000001695007	states																																	"       state_name
id               
3   wait_for_poke"
710359.2566	0.15159999998286366	states																																	"        state_name
id                
1   nose_in_center"
710359.4082	2.0	states																																	"          state_name
id                  
2   punish_violation"
710361.4412	3.8101999999489635	trials	1.0	2.0	80.0	1.170403980678142	0.0	0.35	True	0.0	False	False	17520.0	False	Mixed	True	True	0.025	0.0	1.7213660984226768	1.5	9.0													
710361.4412	3.8101999999489635	processed_trials			80.0	1.170403980678142					False				Mixed					1.7213660984226768		9.0	40.0	40.0	True	False	False	1.7214000000000003	1.7214000000000003	16.328661017111735	0.0861	-0.19912323314804609	Right	0.0861	
710361.4412	0.08609999995678663	states																																	"       state_name
id               
3   wait_for_poke"
710361.5273	1.1704000000609085	states																																	"        state_name
id                
1   nose_in_center"
710362.6977	0.001999999978579581	states																																	"   state_name
id           
5      go_cue"
710362.6997	1.7214000000385568	states																																	"            state_name
id                    
6   wait_for_side_poke"
710364.4211	0.21559999999590218	states																																	"         state_name
id                 
4   announce_reward"
710364.6367	0.6145000000251457	states																																	"   state_name
id           
8      reward"
710365.2512	9.999994654208422e-05	states																																	"    state_name
id            
7   stop_sound"
